Rok produkcji,Przebieg,Pojemność silnika,Rodzaj paliwa,Cena
2013,200 000 km,3 000 cm3,Diesel,5 900 PLN 
2012,180 000 km,2 000 cm3,Diesel,65 000 PLN 
2005,250 000 km,3 200 cm3,Benzyna,8 600 PLN 
2005,296 000 km,3 000 cm3,Diesel,26 000 PLN 
2011,214 000 km,Diesel,102 090 PLN ,
2018,5 km,Diesel,361 288 PLN ,
2013,176 000 km,3 000 cm3,Diesel,95 000 PLN 
2016,120 600 km,2 967 cm3,Diesel,139 900 PLN 
2013,207 000 km,2 000 cm3,Diesel,38 900 PLN 
2019,1 km,2 000 cm3,Benzyna,321 288 PLN 
2014,67 000 km,2 000 cm3,Diesel,84 500 PLN 
2013,142 000 km,2 000 cm3,Diesel,76 500 PLN 
2006,328 040 km,2 967 cm3,Diesel,25 000 PLN 
