Rok produkcji,Przebieg,Pojemność silnika,Rodzaj paliwa,Cena
2008,246 000 km,3 000 cm3,Diesel,31 900 PLN 
2004,294 000 km,3 123 cm3,Benzyna,24 900 PLN 
2016,124 000 km,2 000 cm3,Diesel,96 900 PLN 
2013,57 200 km,2 000 cm3,Benzyna,42 100 PLN 
2016,87 000 km,2 967 cm3,Diesel,195 989 PLN 
2010,311 800 km,2 000 cm3,Diesel,35 000 PLN 
2004,340 000 km,2 700 cm3,Benzyna+LPG,17 500 PLN 
2019,10 km,3 000 cm3,Diesel,430 000 PLN 
2009,286 491 km,2 700 cm3,Diesel,39 900 PLN 
2012,180 000 km,2 000 cm3,Diesel,57 800 PLN 
2016,199 000 km,2 000 cm3,Diesel,83 900 PLN 
2011,133 000 km,2 000 cm3,Benzyna,49 999 PLN 
2009,193 500 km,2 967 cm3,Diesel,24 000 PLN 
2018,5 km,2 000 cm3,Diesel,228 300 PLN 
2005,199 600 km,2 393 cm3,Benzyna,24 999 PLN 
2004,223 924 km,1 999 cm3,Benzyna,13 999 PLN 
2016,83 422 km,2 000 cm3,Diesel,104 500 PLN 
2016,125 000 km,2 967 cm3,Diesel,219 990 PLN 
1998,330 000 km,2 400 cm3,Benzyna,7 900 PLN 
2018,25 044 km,2 998 cm3,Diesel,349 900 PLN 
2001,350 000 km,Diesel,6 999 PLN ,
2011,194 000 km,1 968 cm3,Diesel,52 900 PLN 
2004,335 000 km,Diesel,20 000 PLN ,
2007,530 000 km,3 000 cm3,Diesel,19 000 PLN 
2016,65 000 km,2 967 cm3,Diesel,175 989 PLN 
2011,175 000 km,2 000 cm3,Diesel,39 700 PLN 
2013,188 000 km,3 000 cm3,Diesel,95 325 PLN 
2009,224 000 km,3 000 cm3,Diesel,36 500 PLN 
2002,200 000 km,2 000 cm3,Benzyna,10 900 PLN 
2008,251 328 km,3 000 cm3,Diesel,24 999 PLN 
2016,74 681 km,1 998 cm3,Diesel,149 900 PLN 
2007,189 200 km,3 000 cm3,Diesel,37 986 PLN 
2018,10 km,1 968 cm3,Diesel,259 000 PLN 
2014,147 000 km,2 000 cm3,Diesel,83 900 PLN 
2004,230 465 km,2 400 cm3,Benzyna+LPG,25 000 PLN 
2006,367 000 km,3 000 cm3,Diesel,21 800 PLN 
2014,247 000 km,3 000 cm3,Diesel,47 000 PLN 
2016,109 540 km,3 000 cm3,Diesel,178 700 PLN 
2017,25 000 km,2 000 cm3,Diesel,147 477 PLN 
2008,192 152 km,1 968 cm3,Diesel,18 900 PLN 
2016,39 030 km,2 000 cm3,Diesel,129 700 PLN 
2015,177 202 km,1 984 cm3,Benzyna,94 000 PLN 
2006,219 168 km,2 967 cm3,Diesel,29 900 PLN 
2004,320 000 km,2 400 cm3,Benzyna,20 900 PLN 
2016,125 000 km,2 967 cm3,Diesel,219 990 PLN 
2015,136 742 km,2 000 cm3,Diesel,108 999 PLN 
2009,227 300 km,3 000 cm3,Diesel,42 000 PLN 
2007,269 000 km,2 698 cm3,Diesel,26 900 PLN 
2012,125 700 km,2 995 cm3,Benzyna,79 900 PLN 
1998,381 100 km,2 771 cm3,Benzyna+LPG,3 700 PLN 
2001,300 583 km,2 485 cm3,Diesel,8 888 PLN 
2008,282 906 km,2 698 cm3,Diesel,27 900 PLN 
2016,86 543 km,2 998 cm3,Diesel,199 900 PLN 
2005,259 000 km,3 000 cm3,Diesel,19 998 PLN 
1998,123 015 km,1 800 cm3,Benzyna,13 999 PLN 
2005,338 000 km,3 000 cm3,Diesel,23 999 PLN 
2019,5 km,1 984 cm3,Benzyna,293 708 PLN 
2012,124 000 km,3 000 cm3,Diesel,47 900 PLN 
2006,340 000 km,2 700 cm3,Diesel,24 999 PLN 
2005,211 454 km,2 400 cm3,Benzyna,22 999 PLN 
1997,372 100 km,1 800 cm3,Benzyna,1 900 PLN 
2012,266 300 km,2 000 cm3,Diesel,58 000 PLN 
2005,293 000 km,2 400 cm3,Benzyna+LPG,20 000 PLN 
2018,10 km,1 968 cm3,Diesel,240 000 PLN 
2007,155 000 km,3 000 cm3,Diesel,34 500 PLN 
2014,110 700 km,1 968 cm3,Diesel,89 900 PLN 
2018,22 707 km,1 968 cm3,Diesel,192 849 PLN 
1998,253 000 km,1 800 cm3,Benzyna,8 500 PLN 
2011,229 000 km,3 000 cm3,Diesel,57 900 PLN 
2001,199 940 km,1 984 cm3,Benzyna,9 900 PLN 
2014,167 000 km,3 000 cm3,Diesel,33 900 PLN 
2004,234 000 km,Diesel,23 000 PLN ,
2013,207 000 km,2 000 cm3,Diesel,80 900 PLN 
2018,30 169 km,1 968 cm3,Diesel,164 900 PLN 
2012,204 000 km,2 000 cm3,Diesel,59 900 PLN 
2013,199 000 km,3 000 cm3,Diesel,52 900 PLN 
2018,5 km,2 000 cm3,Diesel,247 600 PLN 
2018,5 km,2 000 cm3,Diesel,259 400 PLN 
2018,5 km,2 000 cm3,Diesel,240 504 PLN 
2018,5 km,2 000 cm3,Diesel,238 372 PLN 
2018,5 km,2 000 cm3,Diesel,251 748 PLN 
2005,260 401 km,2 400 cm3,Benzyna,25 600 PLN 
2018,5 km,2 000 cm3,Diesel,237 813 PLN 
2018,5 km,2 000 cm3,Diesel,235 607 PLN 
2018,5 km,2 000 cm3,Diesel,232 776 PLN 
2005,304 000 km,4 163 cm3,Benzyna,21 500 PLN 
2004,297 000 km,3 000 cm3,Diesel,22 900 PLN 
2011,235 000 km,2 000 cm3,Diesel,41 900 PLN 
2018,11 000 km,1 984 cm3,Diesel,224 900 PLN 
2012,242 884 km,1 968 cm3,Diesel,66 900 PLN 
2008,189 500 km,2 000 cm3,Diesel,39 900 PLN 
2012,245 000 km,3 000 cm3,Diesel,81 900 PLN 
2007,230 000 km,1 968 cm3,Diesel,24 900 PLN 
2018,1 km,3 000 cm3,Diesel,319 900 PLN 
2001,278 171 km,2 496 cm3,Diesel,12 300 PLN 
2002,350 000 km,1 900 cm3,Diesel,12 500 PLN 
2018,10 km,1 968 cm3,Diesel,249 382 PLN 
2000,230 000 km,2 400 cm3,Benzyna,10 900 PLN 
1998,205 000 km,2 400 cm3,Benzyna,8 600 PLN 
2002,365 000 km,2 500 cm3,Diesel,4 000 PLN 
2019,10 km,1 968 cm3,Diesel,351 730 PLN 
2012,80 000 km,3 000 cm3,Benzyna,29 000 PLN 
2006,245 000 km,3 123 cm3,Benzyna,5 950 EUR 
2007,340 000 km,2 698 cm3,Diesel,22 999 PLN 
2004,201 450 km,3 000 cm3,Diesel,23 900 PLN 
2015,130 000 km,2 000 cm3,Diesel,115 000 PLN 
2015,133 000 km,1 995 cm3,Diesel,110 000 PLN 
2016,125 000 km,2 967 cm3,Diesel,219 990 PLN 
2006,306 400 km,Diesel,25 900 PLN ,
2015,180 353 km,1 968 cm3,Diesel,110 000 PLN 
2002,290 000 km,1 900 cm3,Diesel,10 900 PLN 
2014,102 000 km,1 998 cm3,Diesel,104 900 PLN 
2008,302 000 km,2 700 cm3,Diesel,35 700 PLN 
2013,131 000 km,3 000 cm3,Benzyna,63 000 PLN 
2018,20 000 km,3 000 cm3,Diesel,289 000 PLN 
2012,176 000 km,2 000 cm3,Diesel,58 999 PLN 
2019,1 984 cm3,Benzyna,256 600 PLN ,
1999,253 000 km,1 800 cm3,Benzyna,11 900 PLN 
2010,189 000 km,1 984 cm3,Benzyna,36 900 PLN 
2004,240 000 km,2 390 cm3,Benzyna,20 500 PLN 
2011,255 000 km,1 997 cm3,Diesel,37 900 PLN 
2007,194 000 km,2 700 cm3,Diesel,26 900 PLN 
2003,367 000 km,2 500 cm3,Diesel,6 900 PLN 
2001,238 000 km,2 400 cm3,Benzyna,11 500 PLN 
2019,1 984 cm3,Benzyna,286 200 PLN ,
2016,176 100 km,2 000 cm3,Diesel,94 900 PLN 
2015,102 000 km,2 967 cm3,Diesel,159 900 PLN 
2003,216 200 km,1 984 cm3,Benzyna+LPG,13 900 PLN 
2011,184 500 km,2 967 cm3,Diesel,86 500 PLN 
2016,83 304 km,1 968 cm3,Diesel,138 888 PLN 
2013,72 000 km,3 000 cm3,Benzyna,99 900 PLN 
2016,37 447 km,1 986 cm3,Diesel,154 900 PLN 
2005,243 600 km,3 000 cm3,Diesel,24 900 PLN 
2011,219 000 km,1 968 cm3,Diesel,41 400 PLN 
2013,263 000 km,2 967 cm3,Diesel,83 000 PLN 
2019,12 km,2 000 cm3,Benzyna,300 520 PLN 
2001,301 445 km,2 499 cm3,Diesel,10 200 PLN 
2008,193 000 km,4 163 cm3,Benzyna,34 900 PLN 
2009,276 000 km,1 968 cm3,Diesel,12 900 PLN 
2018,23 280 km,2 967 cm3,Diesel,269 900 PLN 
1996,260 000 km,Benzyna,5 700 PLN ,
2005,283 000 km,Diesel,27 800 PLN ,
2011,187 000 km,2 000 cm3,Diesel,45 900 PLN 
2019,12 km,2 000 cm3,Diesel,182 500 PLN 
2005,300 000 km,2 000 cm3,Diesel,19 900 PLN 
2014,130 000 km,2 993 cm3,Diesel,36 900 PLN 
2004,180 000 km,2 400 cm3,Benzyna,23 900 PLN 
2012,220 000 km,3 000 cm3,Diesel,63 000 PLN 
2016,75 975 km,2 000 cm3,Diesel,141 900 PLN 
2008,220 000 km,2 000 cm3,Diesel,25 900 PLN 
2019,5 000 km,1 984 cm3,Benzyna,288 000 PLN 
2006,222 000 km,3 200 cm3,Benzyna,25 900 PLN 
2016,66 000 km,1 968 cm3,Diesel,139 900 PLN 
1997,201 000 km,1 900 cm3,Diesel,12 900 PLN 
2019,1 984 cm3,Benzyna,279 400 PLN ,
2005,208 111 km,2 400 cm3,Benzyna,16 900 PLN 
2016,16 000 km,3 000 cm3,Benzyna,129 900 PLN 
2010,225 000 km,3 000 cm3,Diesel,49 000 PLN 
2011,216 000 km,3 000 cm3,Diesel,49 000 PLN 
2015,91 000 km,1 968 cm3,Diesel,133 900 PLN 
2005,253 000 km,2 700 cm3,Diesel,14 600 PLN 
2016,69 569 km,2 000 cm3,Diesel,169 900 PLN 
1998,400 000 km,Diesel,9 900 PLN ,
2000,290 548 km,1 781 cm3,Benzyna,11 900 PLN 
2001,220 000 km,2 393 cm3,Benzyna,10 999 PLN 
2003,286 000 km,1 900 cm3,Diesel,14 999 PLN 
2013,177 000 km,2 000 cm3,Diesel,74 899 PLN 
2011,263 000 km,1 968 cm3,Diesel,41 900 PLN 
2018,25 881 km,2 000 cm3,Diesel,179 900 PLN 
2018,26 708 km,2 000 cm3,Diesel,169 900 PLN 
2015,135 238 km,2 000 cm3,Diesel,99 900 PLN 
2013,130 118 km,2 000 cm3,Benzyna,75 849 PLN 
2018,25 324 km,2 967 cm3,Diesel,304 900 PLN 
2018,22 438 km,1 968 cm3,Diesel,166 900 PLN 
2013,199 000 km,3 000 cm3,Diesel,77 900 PLN 
2004,255 000 km,1 900 cm3,Diesel,14 900 PLN 
2018,2 447 km,2 000 cm3,Diesel,261 900 PLN 
2018,5 km,2 000 cm3,Diesel,189 900 PLN 
2018,5 500 km,2 000 cm3,Diesel,199 900 PLN 
2007,164 000 km,2 000 cm3,Benzyna,31 900 PLN 
2007,217 000 km,2 000 cm3,Benzyna,25 900 PLN 
2010,205 000 km,2 700 cm3,Diesel,49 900 PLN 
2012,220 000 km,Diesel,62 000 PLN ,
2003,302 000 km,2 000 cm3,Benzyna,13 900 PLN 
2003,196 000 km,Benzyna+LPG,9 900 PLN ,
2002,230 000 km,2 000 cm3,Benzyna+LPG,9 000 PLN 
2008,295 000 km,2 000 cm3,Benzyna,23 500 PLN 
2017,25 724 km,1 968 cm3,Diesel,110 976 PLN 
2000,292 400 km,Diesel,6 350 PLN ,
2018,11 900 km,Diesel,159 900 PLN ,
2006,240 000 km,3 000 cm3,Diesel,29 000 PLN 
2009,218 000 km,2 800 cm3,Benzyna,38 900 PLN 
2019,1 984 cm3,Benzyna,290 350 PLN ,
2012,169 000 km,3 000 cm3,Diesel,99 000 PLN 
2018,26 654 km,2 967 cm3,Diesel,219 900 PLN 
2011,275 000 km,3 000 cm3,Diesel,39 900 PLN 
2018,32 254 km,1 968 cm3,Diesel,169 900 PLN 
2012,108 000 km,1 996 cm3,Hybryda,79 900 PLN 
2005,238 000 km,2 698 cm3,Diesel,17 900 PLN 
2019,1 984 cm3,Benzyna,244 300 PLN ,
2015,177 805 km,2 000 cm3,Diesel,89 900 PLN 
2016,109 511 km,3 000 cm3,Diesel,119 999 PLN 
2006,199 000 km,2 000 cm3,Benzyna,18 900 PLN 
2019,1 km,1 984 cm3,Benzyna,270 100 PLN 
2009,290 000 km,3 000 cm3,Diesel,38 900 PLN 
2007,330 000 km,2 967 cm3,Diesel,20 400 PLN 
2018,15 230 km,2 967 cm3,Diesel,419 900 PLN 
2013,196 000 km,1 998 cm3,Diesel,69 900 PLN 
2009,148 000 km,2 000 cm3,Diesel,35 900 PLN 
2013,181 000 km,2 000 cm3,Diesel,66 900 PLN 
2011,248 000 km,2 000 cm3,Diesel,35 900 PLN 
2013,147 310 km,2 000 cm3,Diesel,73 900 PLN 
2004,246 000 km,4 200 cm3,Benzyna,29 900 PLN 
2017,58 245 km,1 984 cm3,Benzyna,114 505 PLN 
2014,90 100 km,1 968 cm3,Diesel,91 900 PLN 
2007,240 000 km,1 993 cm3,Benzyna,19 200 PLN 
2019,1 984 cm3,Benzyna,324 700 PLN ,
1998,186 000 km,2 500 cm3,Diesel,8 500 PLN 
2016,9 999 km,2 967 cm3,Diesel,162 900 PLN 
2015,9 999 km,1 968 cm3,Diesel,119 900 PLN 
2017,98 560 km,1 968 cm3,Diesel,147 900 PLN 
2016,9 999 km,1 968 cm3,Diesel,123 900 PLN 
2016,9 999 km,1 968 cm3,Diesel,132 900 PLN 
2019,1 984 cm3,Benzyna,286 500 PLN ,
2002,304 182 km,2 496 cm3,Diesel,8 500 PLN 
2004,307 102 km,1 896 cm3,Diesel,20 900 PLN 
2019,1 984 cm3,Benzyna,279 400 PLN ,
2011,259 000 km,1 968 cm3,Diesel,60 900 PLN 
2006,231 900 km,2 698 cm3,Diesel,21 900 PLN 
2018,9 122 km,3 000 cm3,Diesel,349 900 PLN 
2012,104 000 km,1 998 cm3,Diesel,42 900 PLN 
1998,147 000 km,2 400 cm3,Benzyna,9 900 PLN 
2005,280 000 km,3 000 cm3,Diesel,19 999 PLN 
2005,341 992 km,Diesel,22 500 PLN ,
2018,29 000 km,3 000 cm3,Benzyna,332 961 PLN 
2007,238 900 km,2 000 cm3,Benzyna,25 900 PLN 
2013,143 200 km,2 000 cm3,Diesel,75 900 PLN 
2012,245 687 km,3 000 cm3,Diesel,64 000 PLN 
2010,197 875 km,1 968 cm3,Diesel,40 999 PLN 
2007,225 000 km,3 000 cm3,Diesel,26 300 PLN 
2001,205 000 km,1 900 cm3,Diesel,13 500 PLN 
2015,94 913 km,1 968 cm3,Diesel,99 499 PLN 
2006,352 000 km,2 967 cm3,Diesel,22 800 PLN 
2013,88 000 km,1 984 cm3,Benzyna,74 900 PLN 
2015,135 120 km,2 998 cm3,Diesel,179 000 PLN 
2015,122 000 km,2 000 cm3,Benzyna,111 899 PLN 
2006,225 000 km,2 400 cm3,Benzyna,19 800 PLN 
2003,260 000 km,1 900 cm3,Diesel,11 800 PLN 
2015,96 000 km,1 800 cm3,Benzyna,101 900 PLN 
2015,95 000 km,3 000 cm3,Diesel,179 000 PLN 
2006,250 000 km,2 000 cm3,Diesel,23 700 PLN 
2014,109 000 km,1 968 cm3,Diesel,84 900 PLN 
2004,335 000 km,2 000 cm3,Diesel,21 900 PLN 
2010,187 000 km,2 698 cm3,Diesel,45 500 PLN 
2015,71 000 km,2 997 cm3,Diesel,178 000 PLN 
1998,278 000 km,1 800 cm3,Benzyna+LPG,5 900 PLN 
2016,79 863 km,2 000 cm3,Diesel,113 900 PLN 
2016,88 318 km,2 000 cm3,Diesel,109 900 PLN 
2008,192 000 km,3 000 cm3,Diesel,33 999 PLN 
2007,149 000 km,2 698 cm3,Diesel,37 000 PLN 
2018,4 000 km,2 000 cm3,Diesel,259 900 PLN 
2013,148 000 km,2 000 cm3,Diesel,76 900 PLN 
2003,260 000 km,2 500 cm3,Diesel,11 900 PLN 
2018,10 788 km,1 968 cm3,Diesel,184 900 PLN 
2008,196 000 km,1 968 cm3,Diesel,29 900 PLN 
2003,393 000 km,Diesel,6 900 PLN ,
2017,25 000 km,1 968 cm3,Diesel,159 900 PLN 
2011,104 100 km,3 000 cm3,Diesel,69 000 PLN 
2009,340 200 km,1 986 cm3,Diesel,42 500 PLN 
2003,200 000 km,2 400 cm3,Benzyna,12 500 PLN 
2014,151 000 km,2 000 cm3,Diesel,75 000 PLN 
1997,260 000 km,2 771 cm3,Benzyna,7 900 PLN 
2018,5 km,1 968 cm3,Diesel,221 569 PLN 
2018,5 km,2 000 cm3,Diesel,257 888 PLN 
2018,5 km,2 000 cm3,Diesel,263 993 PLN 
2018,5 km,3 000 cm3,Diesel,383 427 PLN 
2008,256 951 km,2 967 cm3,Diesel,19 900 PLN 
2008,280 000 km,2 700 cm3,Diesel,26 800 PLN 
2018,31 000 km,2 967 cm3,Diesel,262 900 PLN 
2010,248 800 km,2 700 cm3,Diesel,45 900 PLN 
2013,176 000 km,2 987 cm3,Diesel,51 200 PLN 
2009,176 730 km,2 000 cm3,Diesel,33 900 PLN 
2014,184 000 km,2 000 cm3,Diesel,85 977 PLN 
2007,295 000 km,3 000 cm3,Diesel,31 500 PLN 
2015,56 900 km,1 984 cm3,Benzyna,129 900 PLN 
2017,19 000 km,1 968 cm3,Diesel,189 900 PLN 
2017,23 000 km,1 968 cm3,Diesel,171 900 PLN 
2017,13 000 km,1 968 cm3,Diesel,172 900 PLN 
2004,250 000 km,2 400 cm3,Benzyna,18 700 PLN 
1999,291 000 km,1 781 cm3,Benzyna+LPG,11 000 PLN 
2007,320 000 km,2 967 cm3,Diesel,28 800 PLN 
2003,172 396 km,2 400 cm3,Benzyna,17 700 PLN 
2013,149 000 km,2 967 cm3,Diesel,91 000 PLN 
2013,143 123 km,3 000 cm3,Diesel,85 000 PLN 
2006,245 000 km,Benzyna,18 900 PLN ,
2005,237 000 km,2 400 cm3,Benzyna,21 999 PLN 
2014,197 359 km,1 968 cm3,Diesel,73 999 PLN 
2009,112 000 km,1 984 cm3,Benzyna,44 900 PLN 
2010,281 000 km,Diesel,39 900 PLN ,
2013,290 000 km,3 000 cm3,Diesel,59 900 PLN 
2004,249 000 km,1 900 cm3,Diesel,17 600 PLN 
2013,131 736 km,3 000 cm3,Benzyna,37 500 PLN 
2018,16 500 km,1 998 cm3,Diesel,68 710 PLN 
2017,24 900 km,2 000 cm3,Diesel,149 900 PLN 
2019,5 km,2 967 cm3,Diesel,390 094 PLN 
2016,195 000 km,1 968 cm3,Diesel,79 888 PLN 
2005,251 525 km,2 698 cm3,Diesel,24 900 PLN 
2014,160 000 km,3 000 cm3,Diesel,29 999 PLN 
2005,241 000 km,2 400 cm3,Benzyna,25 500 PLN 
2019,25 km,2 995 cm3,Benzyna,362 998 PLN 
2019,16 km,1 968 cm3,Diesel,254 999 PLN 
2019,5 km,2 995 cm3,Diesel,309 999 PLN 
2010,269 550 km,2 000 cm3,Diesel,28 900 PLN 
2019,16 km,1 968 cm3,Diesel,196 999 PLN 
2016,48 500 km,Benzyna,85 000 PLN ,
1997,258 652 km,2 393 cm3,Benzyna+LPG,5 500 PLN 
2012,176 000 km,1 968 cm3,Diesel,59 999 PLN 
2012,226 000 km,3 000 cm3,Diesel,68 900 PLN 
1998,174 000 km,2 393 cm3,Benzyna,8 900 PLN 
2010,238 123 km,1 968 cm3,Diesel,30 999 PLN 
2000,206 037 km,2 393 cm3,Benzyna,9 999 PLN 
2014,119 000 km,2 967 cm3,Diesel,109 900 PLN 
2005,250 000 km,2 698 cm3,Diesel,9 500 PLN 
2010,239 000 km,2 000 cm3,Benzyna,37 500 PLN 
2005,260 000 km,2 000 cm3,Diesel,19 500 PLN 
2004,200 000 km,4 200 cm3,Benzyna,18 900 PLN 
2017,24 000 km,1 968 cm3,Diesel,199 900 PLN 
2017,18 800 km,1 968 cm3,Diesel,179 900 PLN 
2004,238 000 km,2 500 cm3,Diesel,12 000 PLN 
2002,465 000 km,2 393 cm3,Benzyna+LPG,6 500 PLN 
2011,143 000 km,2 000 cm3,Diesel,44 800 PLN 
2008,222 000 km,2 700 cm3,Diesel,18 900 PLN 
2002,170 584 km,4 172 cm3,Benzyna,12 900 PLN 
2009,330 000 km,3 000 cm3,Diesel,29 900 PLN 
2016,179 000 km,1 968 cm3,Diesel,104 900 PLN 
2002,195 000 km,1 984 cm3,Benzyna,7 900 PLN 
2006,320 000 km,2 700 cm3,Diesel,19 900 PLN 
2006,295 000 km,2 698 cm3,Diesel,27 900 PLN 
2001,36 000 km,2 400 cm3,Benzyna+LPG,4 900 PLN 
2002,458 000 km,2 496 cm3,Diesel,6 800 PLN 
2009,361 000 km,3 000 cm3,Diesel,35 000 PLN 
2006,208 955 km,1 984 cm3,Benzyna,24 900 PLN 
2013,166 600 km,2 967 cm3,Diesel,87 777 PLN 
2009,260 000 km,Benzyna,25 000 PLN ,
1999,298 000 km,2 496 cm3,Diesel,6 150 PLN 
2015,198 000 km,2 000 cm3,Diesel,99 999 PLN 
2018,11 694 km,2 986 cm3,Diesel,344 900 PLN 
2015,161 800 km,2 000 cm3,Diesel,78 900 PLN 
2014,165 206 km,1 968 cm3,Diesel,79 827 PLN 
2019,1 km,1 998 cm3,Diesel,159 900 PLN 
2014,158 218 km,2 000 cm3,Diesel,77 900 PLN 
2016,39 400 km,1 968 cm3,Diesel,132 000 PLN 
2014,159 000 km,1 968 cm3,Diesel,69 800 PLN 
2017,162 016 km,2 000 cm3,Diesel,106 900 PLN 
2015,161 718 km,2 000 cm3,Diesel,87 900 PLN 
2007,244 000 km,3 200 cm3,Benzyna,25 700 PLN 
2001,325 000 km,2 500 cm3,Diesel,7 000 PLN 
2011,248 000 km,2 998 cm3,Diesel,46 500 PLN 
2017,173 669 km,3 000 cm3,Diesel,125 000 PLN 
2002,237 000 km,2 400 cm3,Benzyna,14 999 PLN 
2002,406 231 km,2 496 cm3,Diesel,1 700 PLN 
1999,165 694 km,2 393 cm3,Benzyna,13 900 PLN 
2004,370 000 km,3 000 cm3,Diesel,14 790 PLN 
2016,88 500 km,2 967 cm3,Diesel,163 666 PLN 
2006,189 000 km,3 000 cm3,Diesel,26 900 PLN 
2006,221 426 km,2 000 cm3,Diesel,14 900 PLN 
2002,293 000 km,2 496 cm3,Diesel,8 500 PLN 
2006,325 000 km,2 700 cm3,Diesel,18 900 PLN 
2018,21 km,1 968 cm3,Diesel,201 524 PLN 
2008,270 000 km,Diesel,24 500 PLN ,
2011,197 000 km,3 000 cm3,Diesel,61 900 PLN 
2005,211 000 km,3 000 cm3,Diesel,23 500 PLN 
2018,5 km,1 968 cm3,Diesel,210 744 PLN 
2014,79 000 km,2 000 cm3,Benzyna,80 000 PLN 
2009,223 500 km,2 000 cm3,Diesel,17 900 PLN 
2009,283 342 km,1 968 cm3,Diesel,30 700 PLN 
1996,211 771 km,2 600 cm3,Benzyna,5 700 PLN 
2016,95 555 km,3 000 cm3,Diesel,159 900 PLN 
2003,237 000 km,1 896 cm3,Diesel,13 900 PLN 
2005,308 000 km,4 136 cm3,Benzyna+LPG,35 000 PLN 
2001,349 483 km,2 500 cm3,Diesel,5 990 PLN 
2005,251 000 km,2 000 cm3,Diesel,26 800 PLN 
2018,4 km,1 968 cm3,Diesel,249 500 PLN 
2012,200 000 km,2 000 cm3,Diesel,58 999 PLN 
2008,204 000 km,1 968 cm3,Diesel,27 500 PLN 
2019,8 km,1 968 cm3,Diesel,260 571 PLN 
2011,197 501 km,2 967 cm3,Diesel,64 900 PLN 
2007,320 000 km,2 000 cm3,Diesel,15 000 PLN 
1999,250 000 km,Benzyna+LPG,4 900 PLN ,
2012,188 000 km,2 967 cm3,Diesel,119 500 PLN 
2006,270 000 km,3 000 cm3,Diesel,24 999 PLN 
1999,263 000 km,2 800 cm3,Benzyna,9 999 PLN 
2004,318 927 km,1 896 cm3,Diesel,11 500 PLN 
2004,384 000 km,1 896 cm3,Diesel,11 400 PLN 
2005,110 644 km,2 967 cm3,Diesel,28 000 PLN 
2013,189 000 km,1 998 cm3,Diesel,71 990 PLN 
2012,204 123 km,3 000 cm3,Diesel,79 900 PLN 
2007,196 819 km,2 967 cm3,Diesel,48 900 PLN 
2000,302 000 km,2 393 cm3,Benzyna+LPG,9 200 PLN 
2018,16 000 km,3 000 cm3,Diesel,258 999 PLN 
2016,28 200 km,1 998 cm3,Diesel,159 900 PLN 
2016,29 900 km,1 968 cm3,Diesel,179 900 PLN 
2005,256 580 km,2 967 cm3,Diesel,25 900 PLN 
2005,294 776 km,1 986 cm3,Diesel,18 500 PLN 
2009,248 000 km,2 000 cm3,Diesel,37 900 PLN 
2012,239 500 km,2 000 cm3,Diesel,52 900 PLN 
2010,228 000 km,1 998 cm3,Diesel,32 400 PLN 
2018,5 km,1 968 cm3,Diesel,210 093 PLN 
2018,4 949 km,2 967 cm3,Diesel,399 000 PLN 
2013,133 000 km,2 000 cm3,Diesel,60 147 PLN 
2013,161 000 km,3 000 cm3,Diesel,86 800 PLN 
2003,276 000 km,3 000 cm3,Benzyna,16 900 PLN 
2018,26 000 km,2 968 cm3,Diesel,369 000 PLN 
2014,180 950 km,2 000 cm3,Diesel,74 900 PLN 
2016,70 000 km,3 000 cm3,Diesel,56 999 PLN 
2015,50 000 km,1 968 cm3,Diesel,119 999 PLN 
2016,148 000 km,1 997 cm3,Diesel,86 990 PLN 
2017,40 000 km,1 998 cm3,Diesel,155 900 PLN 
2014,79 231 km,2 000 cm3,Benzyna,73 499 PLN 
2002,283 000 km,2 464 cm3,Diesel,5 900 PLN 
2015,158 000 km,2 000 cm3,Diesel,93 000 PLN 
2007,281 000 km,2 393 cm3,Benzyna+LPG,18 000 PLN 
2012,226 134 km,3 000 cm3,Diesel,56 900 PLN 
2005,256 000 km,3 000 cm3,Diesel,23 900 PLN 
2015,158 000 km,1 968 cm3,Diesel,95 900 PLN 
2008,291 000 km,1 998 cm3,Diesel,21 900 PLN 
2013,204 500 km,1 968 cm3,Diesel,59 900 PLN 
2016,163 254 km,1 986 cm3,Diesel,93 333 PLN 
2013,190 000 km,2 000 cm3,Diesel,72 800 PLN 
2006,343 000 km,1 968 cm3,Diesel,18 000 PLN 
2003,149 000 km,1 896 cm3,Diesel,11 900 PLN 
2017,31 325 km,1 968 cm3,Diesel,164 900 PLN 
2017,29 500 km,1 968 cm3,Diesel,199 900 PLN 
2006,176 000 km,1 968 cm3,Diesel,23 800 PLN 
2011,275 000 km,3 000 cm3,Diesel,43 050 PLN 
2009,274 000 km,Diesel,41 500 PLN ,
2007,230 000 km,1 986 cm3,Diesel,29 999 PLN 
2004,202 000 km,1 896 cm3,Diesel,14 500 PLN 
2008,273 212 km,1 111 cm3,Diesel,77 723 PLN 
2002,280 000 km,3 000 cm3,Benzyna+LPG,14 000 PLN 
2007,290 000 km,3 000 cm3,Diesel,32 500 PLN 
2005,176 000 km,2 400 cm3,Benzyna,29 397 PLN 
2005,367 500 km,3 000 cm3,Diesel,24 000 PLN 
2003,288 000 km,2 500 cm3,Diesel,14 990 PLN 
2014,168 000 km,2 000 cm3,Diesel,79 900 PLN 
2000,330 000 km,1 896 cm3,Diesel,7 900 PLN 
2002,167 000 km,Benzyna+LPG,16 000 PLN ,
2012,190 000 km,2 000 cm3,Diesel,59 900 PLN 
2005,330 000 km,4 163 cm3,Benzyna,17 500 PLN 
2018,14 735 km,3 000 cm3,Diesel,342 900 PLN 
2004,230 000 km,1 900 cm3,Diesel,8 999 PLN 
2006,290 000 km,Diesel,6 099 PLN ,
